Artist Name,Song Name,Total Streams
Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,883369738
Juice WRLD ,Lucid Dreams,864832399
Lil Uzi Vert ,XO TOUR Llif3,781153024
J. Cole ,No Role Modelz,734857487
Post Malone ,rockstar,718865961
Travis Scott ,goosebumps,672972704
The Weeknd ,Blinding Lights,644287953
XXXTENTACION ,Jocelyn Flores,624457164
XXXTENTACION ,SAD!,619879245
Juice WRLD ,All Girls Are The Same,613872384
Kendrick Lamar ,HUMBLE.,606305588
Post Malone ,Circles,598521764
Travis Scott ,SICKO MODE,586638599
Lil Baby ,Drip Too Hard (Lil Baby & Gunna),583443174
Post Malone ,Congratulations,546036924
Post Malone ,I Fall Apart,543144261
Glass Animals ,Heat Waves,540754791
Drake ,God's Plan,534994242
Roddy Ricch ,The Box,504210201
J. Cole ,MIDDLE CHILD,481985952
XXXTENTACION ,Fuck Love,473417295
Post Malone ,Better Now,463551468
Drake ,One Dance,454267392
Olivia Rodrigo ,good 4 u,454100610
Juice WRLD ,Robbery,443773199
Billie Eilish ,lovely,437911914
Joji ,SLOW DANCING IN THE DARK,437333177
XXXTENTACION ,Moonlight,431568186
Offset ,Ric Flair Drip (& Metro Boomin),427614856
The Kid LAROI ,Stay,426712325
Lewis Capaldi ,Someone You Loved,410725370
Harry Styles ,Watermelon Sugar,409073262
Post Malone ,Wow.,405812776
Khalid ,Location,403645089
The Neighbourhood ,Sweater Weather,400804036
Lil Baby ,Yes Indeed,400193604
The Chainsmokers ,Closer,397735618
Post Malone ,Psycho,396525691
The Weeknd ,The Hills,392023505
Dua Lipa ,Levitating,387860108
Billie Eilish ,bad guy,385813103
Morgan Wallen ,Whiskey Glasses,385368118
Olivia Rodrigo ,drivers license,381085710
Doja Cat ,Kiss Me More,376965422
DaBaby ,ROCKSTAR,373388283
Lil Nas X ,INDUSTRY BABY,373383279
The Weeknd ,Starboy,368997138
Childish Gambino ,Redbone,363834232
Lil Mosey ,Blueberry Faygo,355016723
Meek Mill ,Going Bad,349994217
Khalid ,Young Dumb & Broke,349563888
Harry Styles ,As It Was,348668080
Ed Sheeran ,Shape of You,348283656
Ariana Grande ,7 rings,332694161
Billie Eilish ,when the party's over,331192577
Kendrick Lamar ,LOVE. FEAT. ZACARI.,329243971
Cardi B ,I Like It,329059657
Lizzo ,Truth Hurts,321459791
Halsey ,Without Me,320826979
Logic ,18002738255,320245347
Bebe Rexha ,Meant to Be,318478528
Ariana Grande ,"thank u, next",317987550
BlocBoy JB ,Look Alive,316629241
Marshmello ,Happier,316018345
James Arthur ,Say You Won't Let Go,315132103
Arizona Zervas ,ROXANNE,314843202
24kGoldn ,Mood,314504480
Drake ,Nice For What,313324663
blackbear ,hot girl bummer,312411378
Mariah Carey ,All I Want for Christmas Is You,312323662
benny blanco ,Eastside,308890413
Juice WRLD ,Bandit,307048160
Future ,Life Is Good,305783118
YNW Melly ,Murder On My Mind,305306060
Olivia Rodrigo ,deja vu,304638969
Polo G ,RAPSTAR,299470033
Luke Combs ,Beautiful Crazy,298483119
21 Savage ,Bank Account,298320136
Drake ,Wants and Needs,297154583
Cardi B ,WAP,296670667
Travis Scott ,HIGHEST IN THE ROOM,295198938
Lil Tecca ,Ransom,292578295
Sheck Wes ,Mo Bamba,289673118
Post Malone ,White Iverson,288882157
Drake ,In My Feelings,288633458
Lil Nas X ,MONTERO (Call Me By Your Name),288187067
French Montana ,Unforgettable,287042302
Drake ,Nonstop,286786239
Post Malone ,Candy Paint,286217712
DRAM ,Broccoli,285106532
Dua Lipa ,Don't Start Now,284754771
Juice WRLD ,Come & Go,280531842
Juice WRLD ,Wishing Well,277821416
DaBaby ,BOP,277705797
Lil Uzi Vert ,20 Min,277454899
Travis Scott ,BUTTERFLY EFFECT,276763296
Brenda Lee ,Rockin' Around The Christmas Tree,276529912
Drake ,Knife Talk,275693546
Pop Smoke ,For The Night,274720487
Drake ,Fake Love,27431858
